약물번호,한글명,영문명,분류/구분,이화학정보,남용정보,약물정보
N71,메사돈 제조 중간체,Methadone Intermediate,마약,,,
N70,메사돈,Methadone,마약,,,
N69,메타조신,Metazocine,마약,,,
N68,레보르파놀,Levorphanol,마약,,,
N67,레보페나실모르판,Levophenacylmorphan,마약,,,
N66,레보모라마이드,Levomoramide,마약,,,
N65,레보메소르판,Levomethorphan,마약,,,
N64,케토베미돈,Ketobemidone,마약,,,
N63,이소메사돈,Isomethadone,마약,,,
N62,히드록시페치딘,Hydroxypethidine,마약,,,
N61,푸레치딘,Furethidine,마약,,,
N60,펜타닐,Fentanyl,마약,,,
N59,에톡세리딘,Etoxeridine,마약,,,
N58,에토니타젠,Etonitazene,마약,,,
N57,에칠메칠치암부텐,Ethylmethylthiambutene,마약,,,
N56,디피파논,Dipipanone,마약,,,
N55,디펜옥시레이트,Diphenoxyrate,마약,,,
N54,디옥사페틸부티레이드,Dioxaphetyl butyrate,마약,,,
N53,디메칠치암부텐,Dimethylthiambutene,마약,,,
N52,디메페프타놀,Dimepheptanol,마약,,,
N51,디메녹사돌,Dimenoxadole,마약,,,
N50,디에칠치암부텐,Diethylthiambutene,마약,,,
N49,디암프로마이드,Diampromide,마약,,,
N48,덱스트로모라마이드,Dextromoramide,마약,,,
N47,클로니타진,Clonitazene,마약,,,
N46,베지트라마이드,Benzitramide,마약,,,
N45,베타프로딘,Betaprodine,마약,,,
N44,베타메사돌,Betamethadol,마약,,,
N43,베타메프로딘,Betameprodine,마약,,,
N42,베타세틸메사돌,Betacethylmethadol,마약,,,
N41,벤제치딘,Benzethidine,마약,,,
N40,아닐레리딘,Anileridine,마약,,,
N39,알파프로딘,Alphaprodine,마약,,,
N38,알파메사돌,Alphamethadol,마약,,,
N37,알파메프로딘,Alphameprodine,마약,,,
N36,알파세틸메사돌,Alphacetylmethadol,마약,,,
N35,알릴프로딘,Allylprodine,마약,,,
N34,아세틸메사돌,Acetylmethadol,마약,,,
N33,디히드로에트로핀,Dihydroetorphine,마약,"위장, 간, 신장에서 glucuronide 포합이 일어나 담즙으로 배설되며 일부 뇌와 피부에서도 대사가 일어나기도 한다.
 i.v. 투여 시 반감기는 37.2 분이다.","탐닉성이 있고, 동통의 역치가 증가한다.",
N32,폴코딘,Pholcodine,마약,"Morpholino ring에 N-demethylation, N-desalkylation, O-desalkylation, 산화작용에 의해 
desmorpholinohydroxy metabolites, nor-, nordesmorpholinohydroxy-, hydroxy-, oxo-,  noroxo-pholcodine 이 생성된다. 이러한 phase I 대사체는 포합대사체로 전환되지 않은 채, 약물 투여 후 5~7 주 까지 뇨로 배설된다.","오심, 기면이 발생한다.",
N31,노르코데인,Norcodeine,마약,"간에서 CYP3A4 에 의해 N-demethylation이 일어나나며, glucuronic acid와 포합체를 형성하여 대사되어 뇨로 배설된다.",코데인과 동일,
N30,니코코딘,Nicocodine,마약,,,
N29,에칠모르핀,Ethylmorphine,마약,"투여 후 48 시간 후 대사체의 77% 가 뇨로 배설 된다. Glucuronide 포합이 일어나 주요 최종 대사물은  ethylmorphine- 6-glucuronide이며, 일부는 CYP3A4 에 의해 N-demethylation된다.","소화 불량, 변비, 구토, 혼수, 피부 알레르기, 호흡 교란을 일으킨다.",
N28,디히드로코데인,Dihydrocodeine,마약,"경구투여시 95-100%가 흡수되며 뇌혈관장벽 통과, 태반 통과, 유즙 분비 등을 나타낸다. 초회통과효과를 나타내며, 반감기는 α상은 16-20분, β상은 3.4-4.5 시간이다. 혈중최고농도 도달시간은  1.6-1.8 시간이며, 신장을 통해 배설된다.","Codeine, pethidine, morphine보다 일반적으로 부작용이 적은데 이는 저용량을 투여하기 때문인 것이라고 여겨지고 있다. 부작용으로는 변비, 담도위축, 오심, 구토, 진정, 현기, 흥분, 쾌감, 환각, 악몽, 경미한 호흡억제, 금단증상 등이 있다.",
N27,코데인,Codeine,마약,"단백결합률은 7%정도이고, 간에서 morphine(활성형)으로 대사된다. 반감기는 2.5-3.5 시간으로 뇨를 통해 배설되는데 3-16%가 미변화체이고, norcodeine, 유리형 및 포합형 morphine으로 배설된다.","변비, 졸음, 국소적으로 주사부위의 화상, 근신경 및 골격계의 쇠약, 시야몽롱, 배뇨 감소, 요도경련, 빈맥, 서맥, 저혈압, 구갈, 식욕부진, 오심, 구토, 현기증(dizziness, lightheadedness), 착각(행복감), 권태감, 두통, 초조, 역설적인 중추신경계 흥분, 혼동, 발진, 담마진, 호흡곤란, 근육경직, 진전(trembling), 마비성 장폐쇄증 (paralytic ileus), 담도경련, 위경련, 경련, 환각, 정신 억제, 악몽, 불면",
N26,아세틸디히드로코데인,Acetyldihydrocodeine,마약,,디히드로코데인과 동일,
